id	title	original_title	overview	release_date	original_language	genre_ids	adult	poster_path	backdrop_path	popularity	vote_count	vote_average	video
467909	In the Heights	In the Heights	The story of Usnavi, a bodega owner who has mixed feelings about closing his store and retiring to the Dominican Republic or staying in Washington Heights.	2021-06-10	en	18, 10402, 10749	FALSE	/RO4KoJyoQMQzh9z76d4v4FJMmJ.jpg	/uEJuqp08dH6IQwZJGASlPZOXqKu.jpg	66.081	291	7.5	FALSE
407445	Breathe	Breathe	Based on the true story of Robin, a handsome, brilliant and adventurous man whose life takes a dramatic turn when polio leaves him paralyzed.	2017-10-13	en	18, 10749	FALSE	/wLu2N0QVfSpk10RJ17HLHyRUmww.jpg	/jJ28EMI5dokQ6CMGQQXMdH7jiG9.jpg	16.764	554	7.5	FALSE
527	Once Were Warriors	Once Were Warriors	A drama about a Maori family living in Auckland, New Zealand. Lee Tamahori tells the story of Beth Heke’s strong will to keep her family together during times of unemployment and abuse from her violent and alcoholic husband.	1994-09-02	en	18	FALSE	/1nd4SsytVc96hy92g8NNVPD3mzf.jpg	/ninIdXC6iCDKuQRKFJw7nY4uRY2.jpg	9.605	265	7.5	FALSE
106	Predator	Predator	A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.	1987-06-12	en	878, 28, 12, 53	FALSE	/8Ddx76XSKjyuvU90r7xe4uCpRAZ.jpg	/qpS5pfZJcirPTDpvckpczKJIsO0.jpg	50.648	5625	7.5	FALSE
546121	Run	Run	Chloe, a teenager who is confined to a wheelchair, is homeschooled by her mother, Diane. Chloe soon becomes suspicious of her mother and begins to suspect that she may be harboring a dark secret.	2020-11-20	en	53, 27, 18	FALSE	/ilHG4EayOVoYeKqslspY3pR4wzC.jpg	/DnjwdbjdR2c5MFhKv5ZSRf8rDU.jpg	37.397	1234	7.5	FALSE
26638	Red Desert	Il deserto rosso	Amid the modern wastelands and toxic factories of Italy, wife and mother Giuliana desperately tries to conceal her tenuous grip on reality from those around her, especially her successful yet neglectful husband, Ugo. Ugo's old pal, Corrado, shows up in town on a business trip and is more sensitive to Giuliana's anxieties. They begin an affair, but it does little to quell Giuliana's existential fears, and her mental state rapidly deteriorates.	1964-09-04	it	18	FALSE	/rGcTVdyhaGzMxPPRVApXre6F7SD.jpg	/xe43LKesFXjQgP4W1s2juf7Tb4t.jpg	7.487	273	7.5	FALSE
16646	Russian Ark	Русский ковчег	A French marquis wanders through a vast labyrinth of corridors, theaters and ballrooms at a reception for a Persian ambassador.	2002-05-22	ru	18, 14, 36, 9648	FALSE	/7NhwiUZHBajpKC2xcGcpFhMJ07k.jpg	/lLQgQy1nX3qocg83BLTCz1911R4.jpg	8.796	315	7.5	FALSE
429450	Pandora	판도라	When an earthquake hits a Korean village housing a run-down nuclear power plant, a man risks his life to save the country from imminent disaster.	2016-12-07	ko	53, 18, 28	FALSE	/elTrkTm5GjynK3H26cpOZsWDYjy.jpg	/yc8Fl1P5aQwBHEAtB49MO9fpjmw.jpg	14.239	277	7.5	FALSE
75233	Oslo, August 31st	Oslo, 31. august	One day in the life of Anders, a young recovering drug addict, who takes a brief leave from his treatment center to interview for a job and catch up with old friends in Oslo.	2011-08-31	no	18	FALSE	/iKAm2TIUYbTaWZKueHAkqQP05Ds.jpg	/zp5gZrVuEg3rGyM2eZicUsm8TAh.jpg	7.457	223	7.5	FALSE
374720	Dunkirk	Dunkirk	The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II.	2017-07-19	en	10752, 28, 18	FALSE	/ebSnODDg9lbsMIaWg2uAbjn7TO5.jpg	/kdSsUC9DpREwFFPeqPgAaxzE3UT.jpg	42.101	13143	7.5	FALSE
3110	Shane	Shane	A weary gunfighter attempts to settle down with a homestead family, but a smouldering settler and rancher conflict forces him to act.	1953-04-23	en	18, 37	FALSE	/fPCjyrZK1evjm2vocMpsHZ0xFOa.jpg	/3hxnjFezi9kHPPqpHvK2E5JyvUr.jpg	9.113	413	7.5	FALSE
583406	Judas and the Black Messiah	Judas and the Black Messiah	Bill O'Neal infiltrates the Black Panthers on the orders of FBI Agent Mitchell and J. Edgar Hoover. As Black Panther Chairman Fred Hampton ascends—falling for a fellow revolutionary en route—a battle wages for O’Neal’s soul.	2021-02-12	en	18, 36	FALSE	/gPRy77DNDeLrvGyfloFqnZ7HA7o.jpg	/gpFBYlNHCaxiqArTI2TysgVy4l0.jpg	33.274	735	7.5	FALSE
290542	You're Not You	You're Not You	A drama centered on a classical pianist who has been diagnosed with ALS and the brash college student who becomes her caregiver.	2014-10-10	en	18	FALSE	/jvrdukoeCuVckHlbAxU0MPoIzPI.jpg	/48oPliNzRDZOo0qsCAP5ua07W9S.jpg	8.263	651	7.5	FALSE
31682	The Incredible Shrinking Man	The Incredible Shrinking Man	While on a boating trip, Scott Carey is exposed to a radioactive cloud. Nothing seems amiss at first, but several months later Scott realizes that he's shrunk in height by several inches. He sees a doctor, who admits that he's baffled. As Scott continues to shrink, decreasing to three feet tall, he becomes bitter, and lashes out at his wife, Louise. He begins to fear a cure will never be found -- since even as he becomes a national sensation, he's still shrinking.	1957-02-22	en	18, 878, 27	FALSE	/vI7IdqfvsyoQAjAzRWS2fYvUoOu.jpg	/w9DRmSytleTEvb9347fOrgabqBy.jpg	5.03	290	7.5	FALSE
379686	Space Jam: A New Legacy	Space Jam: A New Legacy	When LeBron and his young son Dom are trapped in a digital space by a rogue A.I., LeBron must get them home safe by leading Bugs, Lola Bunny and the whole gang of notoriously undisciplined Looney Tunes to victory over the A.I.'s digitized champions on the court. It's Tunes versus Goons in the highest-stakes challenge of his life.	2021-07-08	en	16, 35, 10751, 878	FALSE	/5bFK5d3mVTAvBCXi5NPWH0tYjKl.jpg	/8s4h9friP6Ci3adRGahHARVd76E.jpg	1876.991	1923	7.5	FALSE
